,Unnamed: 0,source,author,title,description,url,urlToImage,publishedAt,content
10,10,"{'id': None, 'name': 'Motley Fool'}",newsfeedback@fool.com (Keithen Drury),3 Bargain Stocks You Can Buy Today and Hold Forever,These companies are fairly valued and returning cash to shareholders.,https://www.fool.com/investing/2023/01/21/3-bargain-stocks-you-can-buy-today-and-hold-foreve/,https://g.foolcdn.com/editorial/images/714684/person-holding-a-credit-card-smiling.jpg,2023-01-21T12:00:00Z,"When the market had as bad a year as it did in 2022, there are bound to be some bargains lying around just waiting for investors to pick them up. The ones you should be looking for are those that werâ€¦ [+4510 chars]"
11,11,"{'id': None, 'name': 'Motley Fool'}",newsfeedback@fool.com (Adam Levy),Is Meta Platforms Sitting on a $1 Trillion Opportunity?,Metaverse adoption and spending may be about to explode.,https://www.fool.com/investing/2023/01/12/meta-platforms-sitting-on-1-trillion-opportunity/,https://g.foolcdn.com/editorial/images/716009/getty-images-virtual-reality-headset-oculus.jpeg,2023-01-12T11:14:00Z,"Don't be too surprised if you find yourself or a friend spending a lot of money in the metaverse in the near future.
The metaverse could fuel $1 trillion in commerce by 2025, according to Accenture,â€¦ [+4181 chars]"
12,12,"{'id': None, 'name': 'Digiday'}",Antoinette Siu,CES 2023 brings focus to clean rooms and attention metrics at the C Space,CES 2023 was back in full swing as companies showcase their upcoming consumer technologies -- from flying cars to haptic suits -- and marketing's C Space tackles issues around clean rooms and attention metrics.,http://digiday.com/marketing/ces-2023-brings-focus-to-clean-rooms-and-attention-metrics-at-the-c-space/,https://digiday.com/wp-content/uploads/sites/3/2023/01/key-internet-Teads.png,2023-01-06T17:26:31Z,"Electric quadcopters and earbuds that read your mind? Only at CES.Thatâ€™s right, CES 2023 was back in full swing in Las Vegas and online, as companies showcase their upcoming consumer technologies â€” fâ€¦ [+3834 chars]"
13,13,"{'id': None, 'name': 'Digiday'}",Antoinette Siu,Media Buying Briefing: Could virtual interns and brand safety bots be the future of AI for media agencies?,"Artificial intelligence may not be taking over media agencies' jobs yet, but some of this technology is already sitting, and working, next to you.",http://digiday.com/media-buying/media-buying-briefing-could-virtual-interns-and-brand-safety-bots-be-the-future-of-ai-for-media-agencies/,https://digiday.com/wp-content/uploads/sites/3/2027/01/surprise-conclusion.jpeg,2023-01-23T05:01:00Z,"Artificial intelligence may not be taking over media agenciesâ€™ jobs yet, but some of this technology is already sitting, and working, next to you. While machine-learning tools have saved time and braâ€¦ [+8034 chars]"
14,14,"{'id': None, 'name': 'Digiday'}",Ronan Shields,Google is increasingly turning to resellers as it conducts the largest round of layoffs in its history,Even large advertisers note that Google is asking them to work with third parties.,http://digiday.com/media-buying/google-is-increasingly-turning-to-resellers-as-it-conducts-the-largest-round-of-layoffs-in-its-history/,https://digiday.com/wp-content/uploads/sites/3/2027/01/google-storm.jpg,2023-01-20T16:55:14Z,"Alphabet today has confirmed that it plans to cut 12,000 jobs, reportedly the largest round of layoffs in its history, a development that comes as advertisers note a gradual shift in how Google dealsâ€¦ [+6487 chars]"
15,15,"{'id': None, 'name': 'The Indian Express'}",Education Desk,"IIT Guwahati Placement (Computer Science): Highest package, average CTC, top recruiting companies",IIT-Guwahati is one of top engineering colleges in India. Check their average and highest placement offers for computer science engineering in the last five years.,https://indianexpress.com/article/education/jee-main-2023-iit-guwahati-placement-computer-science-salary-highest-package-average-ctc-recruiting-companies-8341101/,https://images.indianexpress.com/2022/12/IIT-Guwahati.jpg,2023-01-01T04:35:06Z,(The IIT placement is part of a series by The Indian Express where we bring to you the five-year placement record of a course offered by a top engineering college. This will help JEE aspirants chooseâ€¦ [+2933 chars]
16,16,"{'id': None, 'name': 'Digiday'}",Michael BÃ¼rgi,How NFTs could evolve for brands â€”Â now that marketers know what they actually are,"NFTs are finally growing out of crypto novelty into next-gen loyalty tools. Tyler Moebius, founder and CEO of SmartMedia Technologies, explains where else they can go.",http://digiday.com/marketing/how-nfts-could-evolve-for-brands-now-that-marketers-know-what-they-actually-are/,https://digiday.com/wp-content/uploads/sites/3/2023/01/Tyler-Moebius.png,2023-01-27T05:01:00Z,"For the most part, non-fungible tokens (NFTs) have been a bust for the marketing and media worlds, mostly the terrain of crypto buffs who invested a lot of coin in seemingly similar-looking pieces ofâ€¦ [+4873 chars]"
17,17,"{'id': None, 'name': 'Psychology Today'}",Corinna (Cori) Lathan Ph.D.,"3 Healthcare Challenges the ""Med-averse"" Could Address",Emerging technology could help address some of healthcare's most pressing problems.,https://www.psychologytoday.com/intl/blog/inventing-the-future/202301/3-healthcare-challenges-the-med-averse-could-address,https://cdn2.psychologytoday.com/assets/styles/manual_crop_1_91_1_1528x800/public/teaser_image/blog_entry/2023-01/DALL%C2%B7E%202023-01-24%2016.54.10%20-%20virtual%20reality%20medicine%20therapy%20doctor%20Metaverse%20woman.png.jpg?itok=_GrGI9oV,2023-01-25T18:09:10Z,"by Corinna Lathan, PhD and Daniel Kraft, MD, founder of NextMed Health.
Weve heard much about technologies converging to form one, or likely multiple, versions of a metaverse. [1] These technologiesâ€¦ [+5556 chars]"
18,18,"{'id': None, 'name': 'Forbes'}","Joe McKendrick, Contributor, 
 Joe McKendrick, Contributor
 https://www.forbes.com/sites/joemckendrick/","Yes, A Mainstream Company Could Be Just As Tech-Savvy As A Google","A survey out of Accenture Research finds some mainstream companies have already made the leap to tech-savvy players. Plus, these companies report seeing positive results.",https://www.forbes.com/sites/joemckendrick/2023/01/17/yes-a-mainstream-company-could-be-just-as-tech-savvy-as-a-google/,https://imageio.forbes.com/specials-images/imageserve/63c630788b7fcf7a07766ec6/0x0.jpg?format=jpg&width=1200,2023-01-17T12:00:00Z,"Digital delivers dividends, study shows.
getty
For the past few decades, the technology giants the likes of Amazon, Apple, Google, and Microsoft had command of the latest technologies, and were hotâ€¦ [+3378 chars]"
19,19,"{'id': None, 'name': 'Forbes'}","World Economic Forum, Contributor, 
 World Economic Forum, Contributor
 https://www.forbes.com/sites/worldeconomicforum/",A Vision For A Global Collaboration Village,"We are at the beginning of a technological development to support progress. The Global Collaboration Village is a global, purpose-driven metaverse platform.",https://www.forbes.com/sites/worldeconomicforum/2023/01/17/a-vision-for-a-global-collaboration-village/,https://imageio.forbes.com/specials-images/imageserve/63c55946db4d1f87b1a44bb3/0x0.jpg?format=jpg&width=1200,2023-01-17T08:00:00Z,"Dive in to the Global Collaboration Village ocean experience.
Accenture
By Klaus Schwab, Founder and Executive Chairman, World Economic Forum
Many heralded the advent of the internet and the spreaâ€¦ [+3755 chars]"
20,20,"{'id': None, 'name': 'Forbes'}","Tracy Brower, PhD, Contributor, 
 Tracy Brower, PhD, Contributor
 https://www.forbes.com/sites/tracybrower/",CEOs Say HR Is Central To Business Success: 5 Critical Shifts,"With so many business issues coming back to people, talent and workforce, the time is right for HR to finally have a seat at the tableâ€”and more.",https://www.forbes.com/sites/tracybrower/2023/01/22/ceos-say-hr-is-central-to-business-success-5-critical-shifts/,https://imageio.forbes.com/specials-images/imageserve/63cdbfc0bc0ab8b010922d88/0x0.jpg?format=jpg&width=1200,2023-01-22T23:34:09Z,"HR will be central to success in the future of work. 
getty
This is arguably the most challenging timeeverto be in HR. Its also the very best. With so many business issues driven by people, talent â€¦ [+10187 chars]"
21,21,"{'id': None, 'name': 'Forbes'}","Luciana Paulise, Contributor, 
 Luciana Paulise, Contributor
 https://www.forbes.com/sites/lucianapaulise/",Here Are Glassdoorâ€™s Top Ten Best Places To Work 2023,"While many organizations were expecting to â€œgo back to normalâ€ after the pandemic effect, remote work, resignation, and quiet quitting are three hard punches that have definitely impacted both company cultures and employeeâ€™s habits and are here to stay.
Here â€¦",https://www.forbes.com/sites/lucianapaulise/2023/01/14/here-are-glassdoors-top-ten-best-places-to-work-2023/,https://imageio.forbes.com/specials-images/imageserve/63c1dd2e0de4018f036db908/0x0.jpg?format=jpg&width=1200,2023-01-14T14:00:00Z,"Happy businesswoman
getty
Workplaces have changed a lot since the past year. While many organizations were expecting to go back to normal after the pandemic effect, remote work, resignation, and quâ€¦ [+1875 chars]"
22,22,"{'id': None, 'name': 'Forbes'}","Lawrence Wintermeyer, Contributor, 
 Lawrence Wintermeyer, Contributor
 https://www.forbes.com/sites/lawrencewintermeyer/",The Reports Of The Death Of Crypto Are Greatly Exaggerated At Davos,"The global blockchain community is quietly and confidently replacing the antiquated plumbing in financial markets, some of it more than 50 years old, and replacing it with digital infrastructure that works and delivers real benefits, both economic and social.",https://www.forbes.com/sites/lawrencewintermeyer/2023/01/20/the-reports-of-the-death-of-crypto-are-greatly-exaggerated-at-davos/,https://imageio.forbes.com/specials-images/imageserve/63cafd0073cb77f05736e6cb/0x0.jpg?format=jpg&width=1200,2023-01-20T21:00:03Z,"TOPSHOT - A photograph shows a general view of the alpine resort of Davos, on the opening day of the ... [+] annual World Economic Forum (WEF) in Davos on January 16, 2023. (Photo by Fabrice COFFRINIâ€¦ [+6482 chars]"
23,23,"{'id': None, 'name': 'Forbes'}","Diane Winiarski, Contributor, 
 Diane Winiarski, Contributor
 https://www.forbes.com/sites/dianewiniarski/",Three Ways People With Disabilities Make A Difference In Your Organization,"The Great Attrition, inflation and a struggling economy have combined to make it difficult to hire and retain talented employees in todayâ€™s job market.",https://www.forbes.com/sites/dianewiniarski/2023/01/23/three-ways-people-with-disabilities-make-a-difference-in-your-organization/,https://imageio.forbes.com/specials-images/imageserve/63ce99319a39d5c80d766ebe/0x0.jpg?format=jpg&width=1200,2023-01-23T14:30:45Z,"People with disabilities represent a sizable untapped resource. 
Pexel 
The Great Attrition, inflation and a struggling economy have combined to make it difficult to hire and retain talented employâ€¦ [+3929 chars]"
24,24,"{'id': None, 'name': 'Forbes'}","Jennifer ""Jay"" Palumbo, Contributor, 
 Jennifer ""Jay"" Palumbo, Contributor
 https://www.forbes.com/sites/jenniferpalumbo/",How To Build An Inclusive Recruitment Process That Supports Neurodiversity In The Workplace,"There has been a growing commitment to hiring this untapped talent pool. However, some companies are still struggling with ways to best executive on this. Below are recruitment experts share their advice for employers on how to build an inclusive recruitment â€¦",https://www.forbes.com/sites/jenniferpalumbo/2022/12/31/how-to-build-an-inclusive-recruitment-process-that-supports-neurodiversity-in-the-workplace/,https://imageio.forbes.com/specials-images/imageserve/63a35fb08344ee03450c44cf/0x0.jpg?format=jpg&width=1200,2022-12-31T17:29:56Z,"Neurodiversity as human mind variation and differences tiny person concept. Mental awareness and ... [+] psychological issues about sociability, learning, attention, mood and disorders vector illustrâ€¦ [+9666 chars]"
25,25,"{'id': None, 'name': 'Forbes'}","John Hall, Senior Contributor, 
 John Hall, Senior Contributor
 https://www.forbes.com/sites/johnhall/",Using Industry-Targeted Inbound Marketing To Generate Leads,"Inbound marketing is a more personalized strategy for generating leads. It relies on forming relationships, which is especially useful for industries focusing on people.",https://www.forbes.com/sites/johnhall/2023/01/13/using-industry-targeted-inbound-marketing-to-generate-leads/,"https://imageio.forbes.com/specials-images/imageserve/63248de480e25ae1e99de208/0x0.jpg?format=jpg&crop=2122,1591,x0,y0,safe&width=1200",2023-01-13T23:00:30Z,"Business team discussing marketing strategy
getty
People often rely on digital means to find solutions to their problems. This applies to every industry, but to some more than others. For example, â€¦ [+6063 chars]"
26,26,"{'id': None, 'name': 'Forbes'}","Yogesh Shah, Forbes Councils Member, 
 Yogesh Shah, Forbes Councils Member
 https://www.forbes.com/sites/forbesbusinesscouncil/people/yogeshshah/",Biggest Trends In Thought Leadership We'll See This Year,"Focus on referencing content, being more analytical, talking about current issues and using an omnichannel approach to your thought leadership marketing strategy.",https://www.forbes.com/sites/forbesbusinesscouncil/2023/01/24/biggest-trends-in-thought-leadership-well-see-this-year/,https://imageio.forbes.com/specials-images/imageserve/63ce9c161a3f310a50766ec0/0x0.jpg?format=jpg&width=1200,2023-01-24T14:15:00Z,"A passionate marketer, CEO at iResearch Services, TechInformed &amp; GivingforGood.
getty
Did you know McKinsey &amp; Companyone of the biggest names in thought leadership for professional servicesâ€¦ [+6521 chars]"
27,27,"{'id': None, 'name': 'Forbes'}","Andy Purdy, Forbes Councils Member, 
 Andy Purdy, Forbes Councils Member
 https://www.forbes.com/sites/forbestechcouncil/people/andypurdy/",A Big Letdown? What Industry Leaders Should Know About The Potential Of 5G,"Some critics have called 5G a disappointment, but these critiques ignore some of 5Gâ€™s most far-reaching benefits.",https://www.forbes.com/sites/forbestechcouncil/2023/01/24/a-big-letdown-what-industry-leaders-should-know-about-the-potential-of-5g/,https://imageio.forbes.com/specials-images/imageserve/63ced84ed409a9d933766ec0/0x0.jpg?format=jpg&width=1200,2023-01-24T13:15:00Z,"Andy is CSO for Huawei Technologies USA, overseeing Huaweis US cyber assurance program. 
getty
A piece in this months Wall Street Journal bears the headline, Its Not Just You: 5G Is A Big Letdown. â€¦ [+6045 chars]"
28,28,"{'id': None, 'name': 'Forbes'}","Diane Brady, Forbes Staff, 
 Diane Brady, Forbes Staff
 https://www.forbes.com/sites/dianebrady/",A CIOâ€™s Guide To CES â€“ And What's Next In Enterprise Tech,"In this issue, we look at the early buzz around CES 2023, the annual extravaganza of consumer tech that kicks off next week in Las Vegas.",https://www.forbes.com/sites/dianebrady/2022/12/29/a-cios-guide-to-ces--and-whats-next-in-enterprise-tech/,https://imageio.forbes.com/specials-images/imageserve/63ad011d05c03a7abfcc7319/0x0.jpg?format=jpg&width=1200,2022-12-29T14:55:57Z,"The annual circus of consumer technology is expected to draw 100,000 people to Las Vegas next week.
Copyright 2022 The Associated Press. All rights reserved.
An excerpt from the Forbes CIO newslettâ€¦ [+5273 chars]"
29,29,"{'id': None, 'name': 'Forbes'}","Eric Friedman, Forbes Councils Member, 
 Eric Friedman, Forbes Councils Member
 https://www.forbes.com/sites/forbeshumanresourcescouncil/people/ericfriedman/",How Reskilling And Upskilling Help Companies Prepare For The Future,One of the best ways to prepare your organization for the future of work is to incorporate skills development into your corporate strategy.,https://www.forbes.com/sites/forbeshumanresourcescouncil/2023/01/11/how-reskilling-and-upskilling-help-companies-prepare-for-the-future/,https://imageio.forbes.com/specials-images/imageserve/63bd6985fc64e7d44836e6ad/0x0.jpg?format=jpg&width=1200,2023-01-11T12:00:00Z,"Eric Friedman is the Founder and CEO of eSkill, a global leader in skills testing and behavioral assessment solutions for employers.
getty
Companies are finding that staying competitive and keepingâ€¦ [+4885 chars]"
30,30,"{'id': None, 'name': 'Forbes'}","Chintan Shah, Forbes Councils Member, 
 Chintan Shah, Forbes Councils Member
 https://www.forbes.com/sites/forbestechcouncil/people/chintanshah/",Businesses Need To Watch These Digital Transformation Trends In 2023,"Businesses must stay on top of these latest business and tech trends, bridge gaps between the two and maneuver change intelligently.",https://www.forbes.com/sites/forbestechcouncil/2023/01/27/businesses-need-to-watch-these-digital-transformation-trends-in-2023/,https://imageio.forbes.com/specials-images/imageserve/63d27e329cb9afadefacf728/0x0.jpg?format=jpg&width=1200,2023-01-27T11:45:00Z,"Chintan is a serial entrepreneur and currently the CEO and founder of Brainvire.
getty
Digital transformation is indispensable for businesses that intend to remain relevant in the near future. Giveâ€¦ [+5313 chars]"
31,31,"{'id': None, 'name': 'Forbes'}","Micah Remley, Forbes Councils Member, 
 Micah Remley, Forbes Councils Member
 https://www.forbes.com/sites/forbestechcouncil/people/micahremley/",Building An Office For The Hybrid Work Era,"As new developments and technologies emerge to meet the needs of hybrid work, employers and office leaders will need to dive into the data and make informed decisions rather than guessing.",https://www.forbes.com/sites/forbestechcouncil/2023/01/04/building-an-office-for-the-hybrid-work-era/,https://imageio.forbes.com/specials-images/imageserve/63b4332b4c5b57af1795e412/0x0.jpg?format=jpg&width=1200,2023-01-04T15:00:00Z,"Micah Remley, Chief Executive Officer at Robin.
getty
For most organizations, the concept of the workplace changed dramatically in early 2020 with the advent of the Covid-19 pandemic. With the hybrâ€¦ [+5807 chars]"
32,32,"{'id': None, 'name': 'Forbes'}","Marc Emmer, Forbes Councils Member, 
 Marc Emmer, Forbes Councils Member
 https://www.forbes.com/sites/forbesbusinesscouncil/people/marcemmer/",Six Ways To Use Blockchain,"The practical applications of blockchain technology for businesses include streamlining processes, building trust with customers and improving data security.",https://www.forbes.com/sites/forbesbusinesscouncil/2023/01/25/six-ways-to-use-blockchain/,https://imageio.forbes.com/specials-images/imageserve/63d03f67a3d901e222d1c38e/0x0.jpg?format=jpg&width=1200,2023-01-25T15:00:00Z,"Marc Emmer is president of Optimize Inc. and an author, speaker and consultant specializing in strategy and strategic planning.
getty
In light of the FTX crash and the giant sucking sound that follâ€¦ [+6244 chars]"
33,33,"{'id': None, 'name': 'Forbes'}","Bess Winston, Forbes Councils Member, 
 Bess Winston, Forbes Councils Member
 https://www.forbes.com/sites/forbesagencycouncil/people/besswinston/",The Power Of The Pivot To Achieve Corporate Sustainability Goals,"If there was ever a justifiable time for companies to pivot, itâ€™s now.",https://www.forbes.com/sites/forbesagencycouncil/2023/01/26/the-power-of-the-pivot-to-achieve-corporate-sustainability-goals/,https://imageio.forbes.com/specials-images/imageserve/63beb99d1683af9fa8964a41/0x0.jpg?format=jpg&width=1200,2023-01-26T12:15:00Z,"Senior Partner at the Winston Agency, a FINN Partners Company, specializing in sustainability communications and advocacy.
getty
Eighteen years ago, purely by fortunate happenstance, my corporate câ€¦ [+5654 chars]"
34,34,"{'id': None, 'name': 'Forbes'}","Paul Smith-Goodson, Contributor, 
 Paul Smith-Goodson, Contributor
 https://www.forbes.com/sites/moorinsights/people/paulsmithgoodson/",IonQ Acquires Entangled Networks And Locks In Quantum Networking Technology Critical To Its Future Success,"Vice President, AI & Quantum Computing, Paul Smith-Goodson, dives in as today, IonQ announced that it is acquiring the operating assets of Entangled Networks in Toronto, Canada.",https://www.forbes.com/sites/moorinsights/2023/01/10/ionqs-acquires-entangled-networks-and-locks-in-quantum-networking-technology-critical-to-its-future-success/,https://imageio.forbes.com/specials-images/imageserve/63bd85c416aa03d86d964a41/0x0.jpg?format=jpg&width=1200,2023-01-10T15:38:30Z,"IONQ
IONQ
Today, IonQ announced that it is acquiring the operating assets of Entangled Networks in Toronto, Canada. In addition to expanding its technology base, IonQ will also be expanding its gloâ€¦ [+7735 chars]"
35,35,"{'id': None, 'name': 'Forbes'}","Thomas Serval, Forbes Councils Member, 
 Thomas Serval, Forbes Councils Member
 https://www.forbes.com/sites/forbestechcouncil/people/thomasserval/",CPG Gets Connected,"Worldwide, companies are responding to consumersâ€™ larger appetites for interaction by investing in connected CPGâ€”using Internet connectivity and clever design to enhance the experience around conventional consumer products and packaging.",https://www.forbes.com/sites/forbestechcouncil/2022/12/30/cpg-gets-connected/,https://imageio.forbes.com/specials-images/imageserve/63ada18abfedfef65ccc731f/0x0.jpg?format=jpg&width=1200,2022-12-30T14:15:00Z,"CEO of Baracoda, Executive Chairman of CareOS, former Google and Microsoft executive focusing on big ideas in connecting objects.
getty
The consumer packaged goods (CPG) industry is famously crowdeâ€¦ [+6847 chars]"
36,36,"{'id': None, 'name': 'Forbes'}","Paul McDonald, Contributor, 
 Paul McDonald, Contributor
 https://www.forbes.com/sites/paulmcdonald/",4 Reasons CFOs Must Take Their Communication Skills To A New Level This Year,Communication expectations for todayâ€™s CFOs involve more than just being able to tell the story behind the numbers.,https://www.forbes.com/sites/paulmcdonald/2023/01/13/4-reasons-cfos-must-take-their-communication-skills-to-a-new-level-this-year/,https://imageio.forbes.com/specials-images/imageserve/63c17b2da78d55621e964a41/0x0.jpg?format=jpg&width=1200,2023-01-13T15:42:25Z,"CFOs need to take their communication skills to the next level. 
getty
Chief financial officers (CFOs) that like to keep a low profile no longer have that luxury in most organizations. The pandemicâ€¦ [+7268 chars]"
37,37,"{'id': None, 'name': 'Forbes'}","Charlie Fink, Contributor, 
 Charlie Fink, Contributor
 https://www.forbes.com/sites/charliefink/","This Week In XR: Apple Punts See-Through AR, Layoffs Hit HoloLens, Metaverse Fashion Start Up Raises $6 Million",Metaverse and AI topped tech talk in Davos.,https://www.forbes.com/sites/charliefink/2023/01/19/this-week-in-xr-apple-punts-see-through-ar-layoffs-hit-hololens-metaverse-fashion-start-up-raises-6-million/,"https://imageio.forbes.com/specials-images/imageserve/632cecd8ca3f8f081544b120/0x0.jpg?format=jpg&crop=1102,620,x290,y274,safe&width=1200",2023-01-19T23:34:52Z,"The World Economic Forum in Davos Switzerland was this week and both Metaverse and AI were among the hot topics discussed by industrys most senior executives, world government officials, and think taâ€¦ [+7362 chars]"
38,38,"{'id': None, 'name': 'Forbes'}","Will Townsend, Contributor, 
 Will Townsend, Contributor
 https://www.forbes.com/sites/moorinsights/people/willtownsend/",Three 5G Networking And Cybersecurity Predictions For 2023,"Vice President, Security, Carriers and Enterprise Networking, Will Townsend gives his networking and security predictions of 2023.",https://www.forbes.com/sites/moorinsights/2023/01/20/three-5g-networking-and-cybersecurity-predictions-for-2023/,https://imageio.forbes.com/specials-images/imageserve/63cab20f967d9374246e3ae8/0x0.jpg?format=jpg&width=1200,2023-01-20T15:52:33Z,"Creative Commons
2022 flew by quickly, and it's that time again to forecast what the new year holds for my focus areas as an ARInsightsARchitect Analyst Power 100-ranked global industry analyst. Netâ€¦ [+8379 chars]"
