Index,Source,Author,Title,Description,Content,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags,publishedAt,url,urlToImage
26,VentureBeat,Sri Krishna,"Cisco, NTT join forces to supercharge private 5G network transformations",New tech and services from NTT and Cisco will accelerate edge connectivity so customers can integrate private 5G into existing infrastructure.,"NTT and Cisco said they will jointly build and bring to market technology and managed services that will enable enterprise customers to deploy private 5G.
The collaboration will accelerate edge conn… [+3790 chars]",Very Positive,0,[],[],"['Cisco', 'NTT']",2023-03-01T20:33:59Z,https://venturebeat.com/data-infrastructure/cisco-ntt-join-forces-supercharge-private-5g-network-transformations/,https://venturebeat.com/wp-content/uploads/2022/05/GettyImages-1372130352-XH4D.jpg?w=1200&strip=all
27,The Economist,The Economist,Business,The world this week,"Goldman Sachs held an investors day, its first in three years, amid grumbling from shareholders about the direction of the bank after a slump in profit last year. David Solomon, its chief executive, … [+4501 chars]",Positive,0,[],[],[],2023-03-02T15:05:16Z,https://www.economist.com/the-world-this-week/2023/03/02/business,https://www.economist.com/img/b/1280/720/90/media-assets/image/20230304_WWP501.jpg
28,Yahoo Entertainment,Associated Press,Edmunds: Edmunds Compares: 2023 BMW iX vs. 2023 Rivian R1S,"The vehicle experts at Edmunds compare both to find out.  The BMW iX packs two electric motors, one driving each axle, that produce 516 horsepower in...","Buying an electric vehicle used to mean choosing from battery range, performance, utility or luxury. You mightve found a car possessing two of those attributes but rarely all of the above. But the BM… [+4709 chars]",Neutral,0,[],[],['BMW'],2023-03-08T11:17:26Z,https://news.yahoo.com/edmunds-edmunds-compares-2023-bmw-111726456.html,https://s.yimg.com/ny/api/res/1.2/uG7LDHJeqPQwTEoh4ce8Sw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/ap.org/a62102652a23f9c81fda689da01b82c0
29,Yahoo Entertainment,Adam Sabes,Michigan woman who fled to Thailand after college student's hit-and-run death hit with $1 million bond,The Michigan woman who fled to Thailand after allegedly being involved in a hit-and-run accident that left a Michigan State University student dead was...,"The Michigan woman who fled to Thailand after allegedly being involved in a fatal hit-and-run incident that left a college student dead was given a $1 million bond during a court hearing.
Tubtim ""Su… [+4463 chars]",Very Negative,280,['dead'],['dead'],"['State', 'University', 'Thailand', 'Michigan']",2023-03-18T00:18:34Z,https://news.yahoo.com/michigan-woman-fled-thailand-college-001834215.html,https://s.yimg.com/ny/api/res/1.2/4Dj876Srw6ZS21W9joGLpA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/fox_news_text_979/a9a93bb6574e7a98f467b96724ec8739
30,ABC News,Nadine El-Bawab,3 men found guilty of killing rapper XXXTentacion,"Dedrick Devonshay Williams, Michael Boatwright, Trayvon Newsome and Robert Allen were convicted of first-degree murder in XXXTentacion's death.","Three men involved in the fatal shooting of rapper XXXTentacion were found guilty by a jury on Monday.
Dedrick Devonshay Williams, Michael Boatwright and Trayvon Newsome had been charged with first-… [+2308 chars]",Very Negative,310,"['murder', 'death']","['murder', 'death']","['Williams', 'Robert', 'Devonshay', 'Allen', 'Trayvon', 'Michael', 'XXXTentacions', 'Boatwright', 'Newsome']",2023-03-20T16:45:15Z,https://abcnews.go.com/Entertainment/3-men-found-guilty-killing-rapper-xxxtentacion/story?id=97767286,https://s.abcnews.com/images/US/XXXTentacion-ap-ps-230310_1678461322974_hpMain_16x9_992.jpg
31,ABC News,ABC NEWS,'A game changer': Ford CEO touts new electric vehicle plant,The latest climate warnings are renewing calls for more electric vehicles.,"United Nations Secretary-General Antonio Guterres said that the world is ""on thin ice"" and called for ""climate action on all fronts"" earlier this week while revealing the latest U.N. climate report.… [+4060 chars]",Very Positive,0,[],[],[],2023-03-24T23:14:51Z,https://abcnews.go.com/US/game-changer-ford-ceo-touts-new-electric-vehicle/story?id=98098666,https://s.abcnews.com/images/US/ford-1-gty-er-230324_1679697247670_hpMain_16x9_992.jpg
32,USA Today,"USA TODAY, Elizabeth Weise, USA TODAY",Clean energy record: More than 40% of US electricity now comes from carbon-free sources,"Power from zero-carbon sources made up 41% of the US electricity mix in 2022, the Sustainable Energy in America 2023 Factbook published Wednesday said","Power from zero-carbon sources made up a full 41% of the US electricity mix in 2022, a record-breaking number that has increased almost every year since 1990.
That mix includes power from nuclear pl… [+5592 chars]",Very Positive,0,[],[],"['Powerfrom', '2023', 'theSustainable', 'US', 'America', 'Energy', 'in', 'Factbook']",2023-03-01T05:01:01Z,https://www.usatoday.com/story/news/2023/03/01/clean-energy-hits-record-us-2023-sustainable-energy-factbook/11324041002/,https://www.gannett-cdn.com/-mm-/7dabdcda590684498b0559064eeeeb7c7ccc41d4/c=0-102-3000-1790/local/-/media/2022/09/29/USATODAY/usatsports/B9353386297Z.1_20220929095207_000_GAA11DKCND.2-0.jpg?auto=webp&format=pjpg&width=1200
33,Cool Hunting,Katie Olsen,Test Drive: Genesis Electrified GV70,"The stunning vehicle furthers the carmaker's seemingly unstoppable momentum Since it launched as an independent brand by Korean automotive brand Hyundai Motor Group in 2015, Genesis has delivered a consistently unique blend of design, performance and luxury t…","The stunning vehicle furthers the carmaker's seemingly unstoppable momentum
Since it launched as an independent brand by Korean automotive brand Hyundai Motor Group in 2015, Genesis has delivered a c… [+5314 chars]",Very Positive,0,[],[],"['Group', 'Genesis', 'Motor', 'Hyundai']",2023-03-21T14:59:43Z,http://coolhunting.com/design/test-drive-genesis-electrified-gv70/,https://i0.wp.com/coolhunting.com/wp-content/uploads/2023/03/GV70.Electrified69-scaled.jpg?fit=1200%2C800&ssl=1
34,Motor Trend,Justin Banner,"No Magnets, Big Power: BMW’s Fifth-Generation Electric Motor (2022)","It’s a magnet-less motor, but how does that work, why is it significant, and a bit old school? We take a deep dive into the motor powering the BMW iX M60.","We've hinted at the impressive power output of the BMW iX M60 motor in our First Look, but its fifth-generation electric motor technology deserves its own examination. That's because it's both extrem… [+6780 chars]",Very Positive,40,[],['dive'],"['BMW', 'iX', 'M60']",2023-03-03T13:49:13Z,https://www.motortrend.com/news/bmw-ix-m60-brushed-electric-motor-tech-deep-dive/,https://www.motortrend.com/uploads/2022/01/2023-BMW-iX-M60-Generation-5-Motor-and-Battery-Pack-1.jpg
35,Stripe.com,nan,Stripe announces new round of funding and plan to provide employee liquidity,"Stripe, which builds economic infrastructure for the internet, has signed agreements for a Series I fundraise.","SAN FRANCISCO AND DUBLINStripe, which builds economic infrastructure for the internet, has signed agreements for a Series I fundraise of more than $6.5 billion (6.15 billion) at a $50B (47B) valuatio… [+3078 chars]",Very Positive,0,[],[],[],2023-03-15T21:36:41Z,https://stripe.com/en-ca/newsroom/news/stripe-series-i-employee-liquidity,https://images.ctfassets.net/fzn2n1nzq965/1BhE6OVyvzQZvwEz2xvBVA/27a52603013ca04c1d9358a38c2e9120/Stripe_Announcement_4000x2000__4_.png?q=80
36,Android Police,Taylor Kerns,Does your new car support wireless Android Auto?,Love Android auto but want to ditch the USB cable? Here's a list of all the cars that support wireless Android Auto.,"Android Auto, Google's smart driving companion software, is an invaluable tool for drivers. It allows you to pair your phone to your car's infotainment screen and stay connected while on the road, al… [+7994 chars]",Very Positive,0,[],[],"['Auto', 'Android', 'Heres', 'USB']",2023-03-03T11:18:16Z,https://www.androidpolice.com/cars-with-android-auto-support/,https://static1.anpoimages.com/wordpress/wp-content/uploads/2023/01/android-in-the-car-1-google-ces-2023.jpg
